country,region,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,Western,Bomi,NA,101560,2,79216.8,21327.6,1015.6,0,0,1015.6
Liberia,North Central,Bong,NA,402624,1,358335.36,44288.64,0,0,0,0
Liberia,Western,Gbarpolu,NA,100677,2,78528.06,21142.17,1006.77,0,0,1006.77
Liberia,North Central,Grand Bassa,NA,267658,1,235539.04,32118.96,0,0,0,0
Liberia,Western,Grand Cape Mount,NA,153423,2,108930.33,35287.29,9205.38,0,0,9205.38
Liberia,South Eastern,Grand Gedeh,NA,151228,1,140642.04,10585.96,0,0,0,0
Liberia,South Eastern,Grand Kru,NA,69920,1,65025.6,4894.4,0,0,0,0
Liberia,North Central,Lofa,NA,334267,1,290812.29,40112.04,3342.67,0,0,3342.67
Liberia,Western,Margibi,NA,253448,1,240775.6,12672.4,0,0,0,0
Liberia,South Eastern,Maryland,NA,164123,1,152634.39,11488.61,0,0,0,0
Liberia,Western,Montserrado,NA,1350092,1,1282587.4,67504.6,0,0,0,0
Liberia,North Central,Nimba,NA,557820,1,496459.8,61360.2,0,0,0,0
Liberia,South Eastern,River Gee,NA,80637,1,75798.78,4838.22,0,0,0,0
Liberia,North Central,Rivercess,NA,86335,1,72521.4,12950.25,863.35,0,0,863.35
Liberia,South Eastern,Sinoe,NA,123620,1,116202.8,7417.2,0,0,0,0
