country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Liberia,NORTH CENTRAL,Bong,417217.025,1,367150.982,50066.043,0,0,0,0
Liberia,NORTH CENTRAL,Lofa,346382.35,1,294424.9975,51957.3525,0,0,0,0
Liberia,NORTH CENTRAL,Grand Bassa,277358.85,1,241302.1995,27735.885,8320.7655,0,0,8320.7655
Liberia,NORTH CENTRAL,River Cess,89464.05,1,77833.7235,11630.3265,0,0,0,0
Liberia,NORTH CENTRAL,Nimba,578037.475,1,485551.479,92485.996,0,0,0,0
Liberia,WESTERN,Grand Cape Mount,158983.65,1,141495.4485,17488.2015,0,0,0,0
Liberia,WESTERN,Gbarpolu,104326.55,1,91807.364,10432.655,2086.531,0,0,2086.531
Liberia,WESTERN,Bomi,105240.85,1,88928.51825,13681.3105,2631.02125,,0,2631.02125
Liberia,WESTERN,Montserrado,1399024.55,1,1245131.85,139902.455,13990.2455,0,0,13990.2455
Liberia,WESTERN,Margibi,262633.7,1,231117.656,26263.37,5252.674,0,0,5252.674
Liberia,SOUTH EASTERN,Grand Gedeh,156709.175,1,139471.1658,14103.82575,3134.1835,0,0,3134.1835
Liberia,SOUTH EASTERN,Grand Kru,72454.175,1,63035.13225,9419.04275,0,0,0,0
Liberia,SOUTH EASTERN,Maryland,170071.075,1,142859.703,25510.66125,1700.71075,0,0,1700.71075
Liberia,SOUTH EASTERN,Sinoe,128100.4,1,115290.36,11529.036,1281.004,0,0,1281.004
Liberia,SOUTH EASTERN,River Gee,83560.05,1,73532.844,10027.206,0,0,0,0
